662,557,417,343,227,147,88,126
662,556,415,340,224,147,88,125
661,553,414,338,222,147,87,125
659,549,412,338,222,146,86,125
658,548,409,337,220,145,86,124
656,547,407,334,220,145,85,123
655,545,406,332,217,144,85,123
653,544,403,329,216,144,85,123
652,544,401,324,215,144,84,123
651,544,400,319,212,144,84,123
651,541,396,319,211,142,84,123
649,540,395,319,211,141,83,119
644,539,395,317,209,141,83,119
644,535,394,315,209,141,81,118
642,533,393,313,207,141,80,118
638,530,393,312,206,140,80,118
635,529,389,312,204,140,80,118
634,528,386,312,201,139,80,117
632,525,385,311,199,139,79,117
631,523,380,309,199,139,79,117
630,517,378,309,198,139,79,117
629,513,374,309,197,139,79,117
628,513,371,307,196,136,79,117
626,512,370,305,193,135,79,117
624,508,369,303,193,134,79,117
621,506,367,301,193,134,78,117
618,505,365,299,192,134,78,116
613,504,363,298,191,134,78,116
613,499,362,297,190,133,77,116
609,497,362,296,188,132,77,116
604,496,360,295,187,132,77,116
600,493,360,294,186,131,77,116
598,491,359,292,185,129,77,116
596,487,356,292,185,129,77,115
593,486,353,291,184,128,77,115
589,484,352,290,182,128,77,115
586,482,350,288,182,127,77,115
580,481,348,287,182,127,77,115
579,477,347,287,180,127,76,114
579,475,345,284,179,125,76,114
576,474,344,282,179,124,75,113
573,472,341,281,178,124,75,113
569,468,341,281,178,123,75,112
568,467,340,276,178,123,74,111
564,465,340,274,177,123,73,111
561,463,336,274,176,123,73,111
557,461,334,274,175,122,73,111
552,458,334,272,175,122,73,111
548,457,334,271,175,119,72,111
545,452,333,271,175,119,72,110
545,450,330,267,174,119,72,110
541,449,328,267,172,119,71,110
536,448,327,264,172,119,71,110
532,446,327,262,170,119,71,110
529,443,326,262,168,118,71,110
527,442,324,260,167,118,70,109
523,441,322,259,165,118,70,109
518,440,320,258,164,118,70,109
514,438,319,256,164,117,70,109
509,435,318,256,164,116,70,109
503,434,317,256,164,116,68,109
502,427,316,256,163,116,68,109
496,427,314,255,163,115,68,109
493,426,312,254,162,113,68,109
491,424,309,253,160,113,68,109
487,422,309,250,160,113,68,108
484,418,309,250,158,113,68,107
478,415,309,249,158,113,68,107
473,414,307,249,157,113,67,107
470,412,306,245,157,113,67,107
468,411,303,243,157,112,67,106
463,410,300,242,157,112,67,106
458,407,298,242,157,112,67,106
453,403,297,242,157,112,67,106
447,402,297,242,155,111,67,106
441,402,296,240,155,111,66,106
439,398,295,240,155,110,64,106
434,396,294,239,154,110,64,106
431,393,292,239,153,109,64,106
427,391,290,237,153,109,64,106
423,387,289,237,153,108,64,106
422,383,288,236,152,107,64,105
417,382,286,235,152,107,63,105
413,381,286,235,149,106,63,104
410,378,286,235,148,105,63,102
407,375,283,234,148,105,63,102
402,373,282,232,148,105,63,102
400,370,282,231,148,103,62,101
396,369,281,230,148,103,61,99
393,365,279,229,148,103,61,99
391,359,279,229,147,102,61,99
389,357,275,228,147,101,61,99
385,355,275,226,146,100,61,99
382,350,273,226,146,100,61,99
378,347,273,224,146,100,61,98
374,346,268,224,146,100,61,98
371,345,264,223,146,100,60,98
368,341,263,222,145,100,60,98
364,338,262,222,143,100,60,98
360,337,260,221,143,98,60,98
356,336,257,220,143,97,60,98
354,332,254,220,143,96,60,98
350,330,251,220,143,96,60,97
345,328,249,220,142,96,60,97
